simulation_id,position,name,bot_class,payout_pct
8,31,TestBot_21,TestBot21,0.0
8,32,TestBot_22,TestBot22,0.0
8,33,TestBot_18,TestBot18,0.0
8,34,TestBot_8,TestBot8,0.0
8,35,TestBot_36,TestBot36,0.0
8,36,TestBot_10,TestBot10,0.0
8,37,TestBot_30,TestBot30,0.0
8,38,TestBot_28,TestBot28,0.0
8,39,TestBot_29,TestBot29,0.0
8,40,TestBot_49,TestBot49,0.0
8,41,TestBot_47,TestBot47,0.0
8,42,TestBot_11,TestBot11,0.0
8,43,TestBot_38,TestBot38,0.0
8,44,TestBot_27,TestBot27,0.0
8,45,TestBot_32,TestBot32,0.0
8,46,CallBot,CallBot,0.0
8,47,TestBot_39,TestBot39,0.0
8,48,TestBot_42,TestBot42,0.0
8,49,TestBot_35,TestBot35,0.0
8,50,TestBot_20,TestBot20,0.0
8,51,TestBot_12,TestBot12,0.0
8,52,RandomBot,RandomBot,0.0
